id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,total,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,10.9,KG/KAP/TAHUN,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10.7,KG/KAP/TAHUN,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8.5,KG/KAP/TAHUN,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10.9,KG/KAP/TAHUN,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,9.6,KG/KAP/TAHUN,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8.4,KG/KAP/TAHUN,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8.7,KG/KAP/TAHUN,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9.0,KG/KAP/TAHUN,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,7.8,KG/KAP/TAHUN,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJLENGKA,8.3,KG/KAP/TAHUN,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8.8,KG/KAP/TAHUN,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9.3,KG/KAP/TAHUN,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,8.8,KG/KAP/TAHUN,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,9.9,KG/KAP/TAHUN,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7.5,KG/KAP/TAHUN,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,10.3,KG/KAP/TAHUN,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9.9,KG/KAP/TAHUN,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10.9,KG/KAP/TAHUN,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,10.6,KG/KAP/TAHUN,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,10.7,KG/KAP/TAHUN,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,11.2,KG/KAP/TAHUN,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,7.9,KG/KAP/TAHUN,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,11.2,KG/KAP/TAHUN,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,10.0,KG/KAP/TAHUN,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,11.3,KG/KAP/TAHUN,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7.4,KG/KAP/TAHUN,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,9.8,KG/KAP/TAHUN,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,10.9,KG/KAP/TAHUN,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10.3,KG/KAP/TAHUN,2020
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8.7,KG/KAP/TAHUN,2020
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10.6,KG/KAP/TAHUN,2020
32,32,JAWA BARAT,3205,KABUPATEN GARUT,9.4,KG/KAP/TAHUN,2020
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7.9,KG/KAP/TAHUN,2020
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9.2,KG/KAP/TAHUN,2020
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10.1,KG/KAP/TAHUN,2020
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,8.1,KG/KAP/TAHUN,2020
37,32,JAWA BARAT,3210,KABUPATEN MAJLENGKA,8.5,KG/KAP/TAHUN,2020
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10.6,KG/KAP/TAHUN,2020
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9.8,KG/KAP/TAHUN,2020
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,8.9,KG/KAP/TAHUN,2020
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,8.5,KG/KAP/TAHUN,2020
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8.6,KG/KAP/TAHUN,2020
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,9.2,KG/KAP/TAHUN,2020
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9.6,KG/KAP/TAHUN,2020
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10.8,KG/KAP/TAHUN,2020
46,32,JAWA BARAT,3271,KOTA BOGOR,11.1,KG/KAP/TAHUN,2020
47,32,JAWA BARAT,3272,KOTA SUKABUMI,10.3,KG/KAP/TAHUN,2020
48,32,JAWA BARAT,3273,KOTA BANDUNG,11.5,KG/KAP/TAHUN,2020
49,32,JAWA BARAT,3274,KOTA CIREBON,9.0,KG/KAP/TAHUN,2020
50,32,JAWA BARAT,3275,KOTA BEKASI,10.2,KG/KAP/TAHUN,2020
51,32,JAWA BARAT,3276,KOTA DEPOK,11.8,KG/KAP/TAHUN,2020
52,32,JAWA BARAT,3277,KOTA CIMAHI,12.5,KG/KAP/TAHUN,2020
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8.1,KG/KAP/TAHUN,2020
54,32,JAWA BARAT,3279,KOTA BANJAR,10.0,KG/KAP/TAHUN,2020
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,12.0,KG/KAP/TAHUN,2021
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,11.3,KG/KAP/TAHUN,2021
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10.5,KG/KAP/TAHUN,2021
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11.4,KG/KAP/TAHUN,2021
59,32,JAWA BARAT,3205,KABUPATEN GARUT,9.3,KG/KAP/TAHUN,2021
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9.7,KG/KAP/TAHUN,2021
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,10.3,KG/KAP/TAHUN,2021
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11.1,KG/KAP/TAHUN,2021
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,8.3,KG/KAP/TAHUN,2021
64,32,JAWA BARAT,3210,KABUPATEN MAJLENGKA,9.7,KG/KAP/TAHUN,2021
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11.6,KG/KAP/TAHUN,2021
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10.3,KG/KAP/TAHUN,2021
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,10.4,KG/KAP/TAHUN,2021
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11.3,KG/KAP/TAHUN,2021
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,9.7,KG/KAP/TAHUN,2021
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,11.6,KG/KAP/TAHUN,2021
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10.9,KG/KAP/TAHUN,2021
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11.5,KG/KAP/TAHUN,2021
73,32,JAWA BARAT,3271,KOTA BOGOR,11.7,KG/KAP/TAHUN,2021
74,32,JAWA BARAT,3272,KOTA SUKABUMI,10.3,KG/KAP/TAHUN,2021
75,32,JAWA BARAT,3273,KOTA BANDUNG,11.9,KG/KAP/TAHUN,2021
76,32,JAWA BARAT,3274,KOTA CIREBON,9.3,KG/KAP/TAHUN,2021
77,32,JAWA BARAT,3275,KOTA BEKASI,11.3,KG/KAP/TAHUN,2021
78,32,JAWA BARAT,3276,KOTA DEPOK,11.5,KG/KAP/TAHUN,2021
79,32,JAWA BARAT,3277,KOTA CIMAHI,10.8,KG/KAP/TAHUN,2021
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9.2,KG/KAP/TAHUN,2021
81,32,JAWA BARAT,3279,KOTA BANJAR,10.1,KG/KAP/TAHUN,2021
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,10.0,KG/KAP/TAHUN,2022
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10.4,KG/KAP/TAHUN,2022
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8.5,KG/KAP/TAHUN,2022
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10.2,KG/KAP/TAHUN,2022
86,32,JAWA BARAT,3205,KABUPATEN GARUT,10.1,KG/KAP/TAHUN,2022
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9.2,KG/KAP/TAHUN,2022
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8.7,KG/KAP/TAHUN,2022
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8.9,KG/KAP/TAHUN,2022
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,9.5,KG/KAP/TAHUN,2022
91,32,JAWA BARAT,3210,KABUPATEN MAJLENGKA,7.9,KG/KAP/TAHUN,2022
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10.1,KG/KAP/TAHUN,2022
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10.4,KG/KAP/TAHUN,2022
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,9.0,KG/KAP/TAHUN,2022
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,9.6,KG/KAP/TAHUN,2022
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8.9,KG/KAP/TAHUN,2022
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,11.1,KG/KAP/TAHUN,2022
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10.4,KG/KAP/TAHUN,2022
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,9.5,KG/KAP/TAHUN,2022
100,32,JAWA BARAT,3271,KOTA BOGOR,9.7,KG/KAP/TAHUN,2022
101,32,JAWA BARAT,3272,KOTA SUKABUMI,10.5,KG/KAP/TAHUN,2022
102,32,JAWA BARAT,3273,KOTA BANDUNG,10.0,KG/KAP/TAHUN,2022
103,32,JAWA BARAT,3274,KOTA CIREBON,8.5,KG/KAP/TAHUN,2022
104,32,JAWA BARAT,3275,KOTA BEKASI,11.5,KG/KAP/TAHUN,2022
105,32,JAWA BARAT,3276,KOTA DEPOK,10.8,KG/KAP/TAHUN,2022
106,32,JAWA BARAT,3277,KOTA CIMAHI,10.6,KG/KAP/TAHUN,2022
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7.8,KG/KAP/TAHUN,2022
108,32,JAWA BARAT,3279,KOTA BANJAR,8.4,KG/KAP/TAHUN,2022
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,10.3,KG/KAP/TAHUN,2023
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10.0,KG/KAP/TAHUN,2023
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,9.4,KG/KAP/TAHUN,2023
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10.7,KG/KAP/TAHUN,2023
113,32,JAWA BARAT,3205,KABUPATEN GARUT,10.9,KG/KAP/TAHUN,2023
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9.1,KG/KAP/TAHUN,2023
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9.3,KG/KAP/TAHUN,2023
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9.3,KG/KAP/TAHUN,2023
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,8.5,KG/KAP/TAHUN,2023
118,32,JAWA BARAT,3210,KABUPATEN MAJLENGKA,8.9,KG/KAP/TAHUN,2023
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10.2,KG/KAP/TAHUN,2023
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10.3,KG/KAP/TAHUN,2023
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,9.0,KG/KAP/TAHUN,2023
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,9.9,KG/KAP/TAHUN,2023
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8.4,KG/KAP/TAHUN,2023
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,10.6,KG/KAP/TAHUN,2023
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10.7,KG/KAP/TAHUN,2023
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,9.3,KG/KAP/TAHUN,2023
127,32,JAWA BARAT,3271,KOTA BOGOR,11.0,KG/KAP/TAHUN,2023
128,32,JAWA BARAT,3272,KOTA SUKABUMI,10.7,KG/KAP/TAHUN,2023
129,32,JAWA BARAT,3273,KOTA BANDUNG,11.0,KG/KAP/TAHUN,2023
130,32,JAWA BARAT,3274,KOTA CIREBON,8.5,KG/KAP/TAHUN,2023
131,32,JAWA BARAT,3275,KOTA BEKASI,10.7,KG/KAP/TAHUN,2023
132,32,JAWA BARAT,3276,KOTA DEPOK,11.0,KG/KAP/TAHUN,2023
133,32,JAWA BARAT,3277,KOTA CIMAHI,10.7,KG/KAP/TAHUN,2023
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8.4,KG/KAP/TAHUN,2023
135,32,JAWA BARAT,3279,KOTA BANJAR,10.0,KG/KAP/TAHUN,2023
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,10.35,KG/KAP/TAHUN,2024
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9.87,KG/KAP/TAHUN,2024
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10.07,KG/KAP/TAHUN,2024
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10.95,KG/KAP/TAHUN,2024
140,32,JAWA BARAT,3205,KABUPATEN GARUT,10.46,KG/KAP/TAHUN,2024
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9.09,KG/KAP/TAHUN,2024
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9.77,KG/KAP/TAHUN,2024
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10.2,KG/KAP/TAHUN,2024
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,8.64,KG/KAP/TAHUN,2024
145,32,JAWA BARAT,3210,KABUPATEN MAJLENGKA,9.47,KG/KAP/TAHUN,2024
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10.35,KG/KAP/TAHUN,2024
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,8.28,KG/KAP/TAHUN,2024
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,8.64,KG/KAP/TAHUN,2024
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10.31,KG/KAP/TAHUN,2024
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8.04,KG/KAP/TAHUN,2024
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,10.1,KG/KAP/TAHUN,2024
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10.48,KG/KAP/TAHUN,2024
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10.93,KG/KAP/TAHUN,2024
154,32,JAWA BARAT,3271,KOTA BOGOR,9.64,KG/KAP/TAHUN,2024
155,32,JAWA BARAT,3272,KOTA SUKABUMI,8.94,KG/KAP/TAHUN,2024
156,32,JAWA BARAT,3273,KOTA BANDUNG,10.8,KG/KAP/TAHUN,2024
157,32,JAWA BARAT,3274,KOTA CIREBON,8.09,KG/KAP/TAHUN,2024
158,32,JAWA BARAT,3275,KOTA BEKASI,11.25,KG/KAP/TAHUN,2024
159,32,JAWA BARAT,3276,KOTA DEPOK,11.37,KG/KAP/TAHUN,2024
160,32,JAWA BARAT,3277,KOTA CIMAHI,11.6,KG/KAP/TAHUN,2024
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9.13,KG/KAP/TAHUN,2024
162,32,JAWA BARAT,3279,KOTA BANJAR,9.92,KG/KAP/TAHUN,2024
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,10.69,KG/KAP/TAHUN,2025
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9.9,KG/KAP/TAHUN,2025
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,9.6,KG/KAP/TAHUN,2025
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10.66,KG/KAP/TAHUN,2025
167,32,JAWA BARAT,3205,KABUPATEN GARUT,10.81,KG/KAP/TAHUN,2025
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,10.07,KG/KAP/TAHUN,2025
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,10.13,KG/KAP/TAHUN,2025
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9.55,KG/KAP/TAHUN,2025
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,8.83,KG/KAP/TAHUN,2025
172,32,JAWA BARAT,3210,KABUPATEN MAJLENGKA,9.37,KG/KAP/TAHUN,2025
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10.95,KG/KAP/TAHUN,2025
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9.72,KG/KAP/TAHUN,2025
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,7.78,KG/KAP/TAHUN,2025
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10.26,KG/KAP/TAHUN,2025
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8.61,KG/KAP/TAHUN,2025
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,11.7,KG/KAP/TAHUN,2025
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10.23,KG/KAP/TAHUN,2025
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10.08,KG/KAP/TAHUN,2025
181,32,JAWA BARAT,3271,KOTA BOGOR,11.33,KG/KAP/TAHUN,2025
182,32,JAWA BARAT,3272,KOTA SUKABUMI,9.3,KG/KAP/TAHUN,2025
183,32,JAWA BARAT,3273,KOTA BANDUNG,11.28,KG/KAP/TAHUN,2025
184,32,JAWA BARAT,3274,KOTA CIREBON,9.24,KG/KAP/TAHUN,2025
185,32,JAWA BARAT,3275,KOTA BEKASI,10.86,KG/KAP/TAHUN,2025
186,32,JAWA BARAT,3276,KOTA DEPOK,11.24,KG/KAP/TAHUN,2025
187,32,JAWA BARAT,3277,KOTA CIMAHI,12.3,KG/KAP/TAHUN,2025
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8.49,KG/KAP/TAHUN,2025
189,32,JAWA BARAT,3279,KOTA BANJAR,10.21,KG/KAP/TAHUN,2025
